component,gpu_hours_intercept_model,gpu_hours_origin_model
tuning_once,15.506407354630896,10.0247028714504
C0,7.8413004919999745,8.098092227721612
C1,0.5127968299294688,0.5258298515043769
C2,7.691952448942031,7.887447772565652
C3,7.656091071352845,7.836867931084332
specialist,131.1310638463004,4.300054110689712
