host,assigned_family,matched_rule,rules_matched,nearest_rule,why_not,rows,S,sigma,kappa,zT,rule_description
Cu0.875Bi0.875Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,22,0,3,9,10,BiCuSeO-type oxychalcogenide
Cu0.875Bi1Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,12,6,6,7,6,BiCuSeO-type oxychalcogenide
Cu1Bi0.905Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,32,9,9,5,9,BiCuSeO-type oxychalcogenide
Cu1Bi0.9216Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,43,10,11,10,12,BiCuSeO-type oxychalcogenide
Cu1Bi0.945Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,35,9,9,9,8,BiCuSeO-type oxychalcogenide
Cu1Bi0.94Te1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,12,6,6,7,6,BiCuSeO-type oxychalcogenide
Cu1Bi0.95S1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,12,7,5,7,7,BiCuSeO-type oxychalcogenide
Cu1Bi0.95Se1O0.95,bicuseo,bicuseo,bicuseo;other_oxide,,,17,8,9,9,9,BiCuSeO-type oxychalcogenide
Cu1Bi1Se0.92O1,bicuseo,bicuseo,bicuseo;other_oxide,,,10,9,6,10,8,BiCuSeO-type oxychalcogenide
Cu1Bi1Se0.94O1,bicuseo,bicuseo,bicuseo;other_oxide,,,10,9,10,10,10,BiCuSeO-type oxychalcogenide
Cu1Bi1Te0.2Se0.8O1,bicuseo,bicuseo,bicuseo;other_oxide,,,37,17,10,17,17,BiCuSeO-type oxychalcogenide
Cu1Bi1Te0.3Se0.7O1,bicuseo,bicuseo,bicuseo;other_oxide,,,29,10,3,6,10,BiCuSeO-type oxychalcogenide
CuBiSO,bicuseo,bicuseo,bicuseo;other_oxide,,,13,8,2,7,8,BiCuSeO-type oxychalcogenide
La0.95Cu1Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,13,13,0,0,0,BiCuSeO-type oxychalcogenide
Sr0.2La0.8Cu1Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,13,13,0,0,0,BiCuSeO-type oxychalcogenide
Ba4Al7Si15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,14,4,16,Type-I clathrate A8B16C30
Ba7.5Ga16Ge30,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,20,0,12,20,Type-I clathrate A8B16C30
Ba8(GaGe2)15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,11,5,3,5,4,Type-I clathrate A8B16C30
Ba8(GaSn2)15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,68,49,66,0,38,Type-I clathrate A8B16C30
Ba8Ga15Ge31,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,65,53,12,10,30,Type-I clathrate A8B16C30
Ba8Ga16Si13Ge17,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,7,6,4,0,0,Type-I clathrate A8B16C30
Ba8Ga17Ge30,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,11,9,9,4,4,Type-I clathrate A8B16C30
Sr3Ga6Ge11,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,19,18,0,0,Type-I clathrate A8B16C30
Sr4(GaGe2)7,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,6,10,9,10,Type-I clathrate A8B16C30
Sr4Al3(GaSi3)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,15,15,0,0,0,Type-I clathrate A8B16C30
Sr4Al4Ga4Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Sr4Al5(GaSi5)3,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,17,17,0,0,0,Type-I clathrate A8B16C30
Sr7Ga14Ge29,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,20,19,0,0,Type-I clathrate A8B16C30
Sr8Al11(GaSi6)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Sr8Al5Ga11Si30,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Ba0.475Sr0.475Co0.8O3,cobaltite,cobaltite,cobaltite;other_oxide,,,39,0,39,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ba0.47Sr0.47Co0.8O3,cobaltite,cobaltite,cobaltite;other_oxide,,,10,0,10,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ba0.5Sr0.5Co0.72O3,cobaltite,cobaltite,cobaltite;other_oxide,,,7,0,7,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ca2.8Co4O9,cobaltite,cobaltite,cobaltite;other_oxide,,,750,395,525,212,208,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ca258(Co69O155)5,cobaltite,cobaltite,cobaltite;other_oxide,,,13,10,10,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ca3Co4.26O9,cobaltite,cobaltite,cobaltite;other_oxide,,,16,14,14,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na0.45Ca1.55Co2O5,cobaltite,cobaltite,cobaltite;other_oxide,,,24,5,19,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na0.81Co1O2,cobaltite,cobaltite,cobaltite;other_oxide,,,22,21,22,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na1Co1.6Ni0.4O4,cobaltite,cobaltite,cobaltite;other_oxide,,,3,2,2,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na1Co2.5Ru0.5O4,cobaltite,cobaltite,cobaltite;other_oxide,,,3,3,0,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr0.3Pr0.7Co0.8O3,cobaltite,cobaltite,cobaltite;other_oxide,,,10,0,10,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr0.9Co0.95O3,cobaltite,cobaltite,cobaltite;other_oxide,,,14,0,14,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr1Co0.85O3,cobaltite,cobaltite,cobaltite;other_oxide,,,66,0,66,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr1Fe0.4Co0.4O3,cobaltite,cobaltite,cobaltite;other_oxide,,,3,0,3,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr2.4Dy0.6Co2O7,cobaltite,cobaltite,cobaltite;other_oxide,,,34,20,14,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ag1.9Te1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,15,12,10,12,8,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te0.7S0.3,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,11,0,0,8,5,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te0.9,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,13,0,0,6,8,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te1.075,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,11,6,8,8,6,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.57Ag0.4Se0.3S0.7,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,12,7,6,8,10,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.73S1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,8,8,8,7,8,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.75S1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,8,6,6,4,5,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.885S1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,16,10,10,10,10,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2Se0.5S0.5,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,19,0,0,4,15,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2Se0.81S0.19,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,17,10,8,10,6,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2Se0.84S0.16,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,12,12,12,0,11,"Cu2/Ag2 (Se,S,Te) liquid-like"
