host,assigned_family,matched_rule,rules_matched,nearest_rule,why_not,rows,S,sigma,kappa,zT,rule_description
Cu0.925Bi0.925Se1O1,bicuseo,bicuseo,bicuseo;oxide,,,30,0,10,10,10,BiCuSeO-type oxychalcogenide
Cu1Bi0.905Se1O1,bicuseo,bicuseo,bicuseo;oxide,,,32,9,9,5,9,BiCuSeO-type oxychalcogenide
Cu1Bi0.91Se1O1,bicuseo,bicuseo,bicuseo;oxide,,,11,11,10,0,0,BiCuSeO-type oxychalcogenide
Cu1Bi0.92Se1O1,bicuseo,bicuseo,bicuseo;oxide,,,254,188,182,166,167,BiCuSeO-type oxychalcogenide
Cu1Bi0.93Se1O1,bicuseo,bicuseo,bicuseo;oxide,,,11,11,11,10,10,BiCuSeO-type oxychalcogenide
Cu1Bi0.94Te1O1,bicuseo,bicuseo,bicuseo;oxide,,,12,6,6,7,6,BiCuSeO-type oxychalcogenide
Cu1Bi0.95Se1O0.95,bicuseo,bicuseo,bicuseo;oxide,,,17,8,9,9,9,BiCuSeO-type oxychalcogenide
Cu1Bi1Te0.2Se0.8O1,bicuseo,bicuseo,bicuseo;oxide,,,37,17,10,17,17,BiCuSeO-type oxychalcogenide
Cu1Bi1Te0.3Se0.7O1,bicuseo,bicuseo,bicuseo;oxide,,,29,10,3,6,10,BiCuSeO-type oxychalcogenide
Cu1Bi1Te0.4Se0.6O1,bicuseo,bicuseo,bicuseo;oxide,,,34,10,4,10,10,BiCuSeO-type oxychalcogenide
CuBiSO,bicuseo,bicuseo,bicuseo;oxide,,,13,8,2,7,8,BiCuSeO-type oxychalcogenide
CuBiSeO,bicuseo,bicuseo,bicuseo;oxide,,,1439,828,782,688,695,BiCuSeO-type oxychalcogenide
CuBiTeO,bicuseo,bicuseo,bicuseo;oxide,,,60,38,38,40,38,BiCuSeO-type oxychalcogenide
La0.95Cu1Se1O1,bicuseo,bicuseo,bicuseo;oxide,,,13,13,0,0,0,BiCuSeO-type oxychalcogenide
Sr0.2La0.8Cu1Se1O1,bicuseo,bicuseo,bicuseo;oxide,,,13,13,0,0,0,BiCuSeO-type oxychalcogenide
Ba15Ga29Ge56,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,40,33,38,22,21,Type-I clathrate A8B16C30
Ba480Ga959Ge1798,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,10,5,5,6,4,Type-I clathrate A8B16C30
Ba4Al4Ga4Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,9,9,0,0,0,Type-I clathrate A8B16C30
Ba4Al8Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,32,26,17,4,5,Type-I clathrate A8B16C30
Ba4In8Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,13,10,10,6,10,Type-I clathrate A8B16C30
Ba7.5Ga16Ge30,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,20,0,12,20,Type-I clathrate A8B16C30
Ba8Al15Si31,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,269,219,148,34,103,Type-I clathrate A8B16C30
Ba8Ga15Ge31,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,65,53,12,10,30,Type-I clathrate A8B16C30
Ba8Ga16(Sn5Ge)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,15,15,15,0,0,Type-I clathrate A8B16C30
Ba8Ga17Ge30,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,11,9,9,4,4,Type-I clathrate A8B16C30
Ba8Ga17Si29,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,28,22,0,0,19,Type-I clathrate A8B16C30
Ba8In9Ga7Ge30,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,5,2,2,3,3,Type-I clathrate A8B16C30
Sr4Al4Ga4Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Sr4Al6Ga2Si15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Sr8Al11(GaSi6)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Ag2.2Se1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,7,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2.3Se1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,7,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag23Te12,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,8,8,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Se1.1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,10,6,6,7,7,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te0.6S0.4,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,13,0,0,9,9,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu0.2Ag1.8Te1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,4,6,6,6,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.57Ag0.4Se0.3S0.7,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,12,7,6,8,10,"Cu2/Ag2 (Se,S,Te) liquid-like"
