host,assigned_family,matched_rule,rules_matched,nearest_rule,why_not,rows,S,sigma,kappa,zT,rule_description
Sr2.85Ti2O7,perovskite_titanate,perovskite_titanate,perovskite_titanate;other_oxide,,,144,98,100,81,96,"Perovskite titanate (Ti with Sr, Ca or Ba) oxide"
Sr20La30Ti28Mn43(Bi14O117)2,perovskite_titanate,perovskite_titanate,perovskite_titanate;manganite;other_oxide,,,12,0,0,12,11,"Perovskite titanate (Ti with Sr, Ca or Ba) oxide"
Sr3Ti1.6O7,perovskite_titanate,perovskite_titanate,perovskite_titanate;other_oxide,,,31,8,22,0,12,"Perovskite titanate (Ti with Sr, Ca or Ba) oxide"
Sr50Ti49O150,perovskite_titanate,perovskite_titanate,perovskite_titanate;other_oxide,,,9,0,9,0,0,"Perovskite titanate (Ti with Sr, Ca or Ba) oxide"
Si0.15Ge0.85,sige,sige,sige,,,5,5,5,0,0,Si and/or Ge only
Si0.5Ge0.5,sige,sige,sige,,,65,0,65,0,0,Si and/or Ge only
Si0.73Ge0.27,sige,sige,sige,,,24,12,15,6,10,Si and/or Ge only
Si0.74Ge0.3,sige,sige,sige,,,11,9,10,10,10,Si and/or Ge only
Si10Ge,sige,sige,sige,,,27,13,17,10,13,Si and/or Ge only
Si16Ge9,sige,sige,sige,,,10,4,5,5,5,Si and/or Ge only
Si21Ge4,sige,sige,sige,,,11,6,5,6,5,Si and/or Ge only
Si28Ge5,sige,sige,sige,,,7,5,0,3,5,Si and/or Ge only
Si3Ge2,sige,sige,sige,,,21,16,7,4,3,Si and/or Ge only
Si40Ge9,sige,sige,sige,,,66,45,46,42,42,Si and/or Ge only
Si43Ge7,sige,sige,sige,,,10,6,6,6,6,Si and/or Ge only
Si45Ge4,sige,sige,sige,,,6,6,6,6,6,Si and/or Ge only
Si73Ge24,sige,sige,sige,,,12,9,0,3,10,Si and/or Ge only
Si7Ge3,sige,sige,sige,,,3,3,0,0,0,Si and/or Ge only
SiGe,sige,sige,sige,,,49,7,20,5,30,Si and/or Ge only
Ca0.91Fe4Sb12,skutterudite,skutterudite,skutterudite,,,22,11,11,6,17,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Ce5Fe21Sb71,skutterudite,skutterudite,skutterudite,,,20,19,12,10,19,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Co4.32Sb12,skutterudite,skutterudite,skutterudite,,,11,10,11,10,10,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Co7Ni2.8Sb30,skutterudite,skutterudite,skutterudite,,,10,0,6,7,5,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Co98Sb295,skutterudite,skutterudite,skutterudite,,,17,10,11,6,10,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Fe0.92Co3Sb12,skutterudite,skutterudite,skutterudite,,,17,10,0,8,10,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Fe1.1Co2.7Sb12,skutterudite,skutterudite,skutterudite,,,17,9,10,6,6,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Fe1.48Co2.52Sb12,skutterudite,skutterudite,skutterudite,,,59,45,38,49,51,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Fe1.52Co2.48Sb12,skutterudite,skutterudite,skutterudite,,,30,15,0,18,20,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Fe2.4Ni1.6Sb12,skutterudite,skutterudite,skutterudite,,,26,12,19,9,6,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Fe2.8Co1.2Sb12,skutterudite,skutterudite,skutterudite,,,45,29,30,17,18,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Fe2Co2Sb11,skutterudite,skutterudite,skutterudite,,,18,10,10,10,12,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
La0.9Fe1Co3Sb12,skutterudite,skutterudite,skutterudite,,,9,8,7,6,5,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
LaFe3CoSb12,skutterudite,skutterudite,skutterudite,,,7,4,4,6,5,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
PrFe3CoSb12,skutterudite,skutterudite,skutterudite,,,8,5,5,5,5,"Skutterudite (Co,Rh,Ir,Fe,Ni)(Sb,As,P)3, optionally filled"
Sn0.792Pb0.198Se1,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,19,8,10,11,11,"SnSe-type, Sn (majority cation) with Se or S"
Sn0.8415Pb0.1485Se1,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,20,11,11,10,11,"SnSe-type, Sn (majority cation) with Se or S"
Sn0.895Se1,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,17,10,8,10,9,"SnSe-type, Sn (majority cation) with Se or S"
Sn0.89Pb0.11Se0.95,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,19,10,10,9,6,"SnSe-type, Sn (majority cation) with Se or S"
Sn0.95Se0.95,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,3,3,3,3,3,"SnSe-type, Sn (majority cation) with Se or S"
Sn1S0.94,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,11,10,10,10,10,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.1S0.9,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,8,4,0,5,6,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.2S0.8,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,15,5,0,7,10,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.3S0.7,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,12,1,0,10,7,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.4S0.6,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,9,2,0,5,6,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.5S0.5,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,90,48,42,48,57,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.8S0.2,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,18,8,1,4,8,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.9443,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,14,13,8,13,13,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.94905,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,14,13,8,13,13,"SnSe-type, Sn (majority cation) with Se or S"
Sn1Se0.9S0.1,snse_type,snse_type,snse_type;iv_vi_rocksalt,,,51,31,25,35,34,"SnSe-type, Sn (majority cation) with Se or S"
Bi0.36Sb0.064Te0.576,tetradymite,tetradymite,tetradymite,,,6,0,0,6,0,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi0.3Sb1.7Te3,tetradymite,tetradymite,tetradymite,,,93,62,70,49,57,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi0.4975Sb1.4925Te3,tetradymite,tetradymite,tetradymite,,,11,10,10,6,11,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi1.3Sb0.7Te3,tetradymite,tetradymite,tetradymite,,,7,6,7,0,0,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi1.9Te3,tetradymite,tetradymite,tetradymite,,,77,70,69,53,59,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi192Te260Se29,tetradymite,tetradymite,tetradymite,,,6,5,5,3,3,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi199Te299,tetradymite,tetradymite,tetradymite,,,7,7,7,7,7,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi2Sb8Te15,tetradymite,tetradymite,tetradymite,,,5,5,5,5,5,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi2Te2.51Se0.4,tetradymite,tetradymite,tetradymite,,,9,9,6,0,0,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi2Te2.6595Se0.2955,tetradymite,tetradymite,tetradymite,,,8,8,8,0,0,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi2Te2.8,tetradymite,tetradymite,tetradymite,,,29,19,18,25,21,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi2Te2Se,tetradymite,tetradymite,tetradymite,,,156,103,106,63,153,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi2Te3Se0.3,tetradymite,tetradymite,tetradymite,,,63,62,63,34,40,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Bi43Sb129Te265,tetradymite,tetradymite,tetradymite,,,27,19,17,20,18,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Sb20Te31,tetradymite,tetradymite,tetradymite,,,8,8,0,8,8,"Tetradymite (Bi,Sb)2(Te,Se,S)3"
Co1.5Cu10Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,10,8,8,6,6,Tetrahedrite Cu12Sb4S13
Co1.7Cu10Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,14,9,10,8,9,Tetrahedrite Cu12Sb4S13
Cu10Ni2Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,26,18,14,13,18,Tetrahedrite Cu12Sb4S13
Cu12Sb3.5S13,tetrahedrite,tetrahedrite,tetrahedrite,,,23,16,17,17,18,Tetrahedrite Cu12Sb4S13
Cu12Sb3.6S13,tetrahedrite,tetrahedrite,tetrahedrite,,,13,11,10,10,11,Tetrahedrite Cu12Sb4S13
Cu12Sb3.8S13,tetrahedrite,tetrahedrite,tetrahedrite,,,11,11,11,10,11,Tetrahedrite Cu12Sb4S13
Cu12Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,643,448,410,413,442,Tetrahedrite Cu12Sb4S13
Cu13Sb4.2S13,tetrahedrite,tetrahedrite,tetrahedrite,,,9,9,9,9,9,Tetrahedrite Cu12Sb4S13
Cu13Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,12,12,12,11,11,Tetrahedrite Cu12Sb4S13
Cu3SbS3,tetrahedrite,tetrahedrite,tetrahedrite,,,30,28,25,23,27,Tetrahedrite Cu12Sb4S13
Mn1.5Cu10Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,5,5,5,0,5,Tetrahedrite Cu12Sb4S13
Mn1.5Cu11Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,9,9,9,7,7,Tetrahedrite Cu12Sb4S13
Mn2Cu10Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,9,8,8,2,6,Tetrahedrite Cu12Sb4S13
Zn1.79Cu10Sb1.57As2.48S13,tetrahedrite,tetrahedrite,tetrahedrite,,,6,2,0,5,2,Tetrahedrite Cu12Sb4S13
Zn2Cu10Sb4S13,tetrahedrite,tetrahedrite,tetrahedrite,,,4,1,1,4,0,Tetrahedrite Cu12Sb4S13
CrSi2,tm_silicide,tm_silicide,tm_silicide,,,399,205,342,109,56,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Fe1Si1.8,tm_silicide,tm_silicide,tm_silicide,,,7,7,7,0,0,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Fe1Si1.86,tm_silicide,tm_silicide,tm_silicide,,,12,6,6,6,6,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn0.65Fe0.35Si1.7,tm_silicide,tm_silicide,tm_silicide,,,11,10,11,0,0,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn0.94Si1.8,tm_silicide,tm_silicide,tm_silicide,,,20,10,10,10,10,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn0.9Si1.735,tm_silicide,tm_silicide,tm_silicide,,,15,10,10,6,5,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn15Re3Si32,tm_silicide,tm_silicide,tm_silicide,,,40,40,40,39,40,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn1Si1.719136,tm_silicide,tm_silicide,tm_silicide,,,16,11,9,12,0,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn1Si1.72375,tm_silicide,tm_silicide,tm_silicide,,,10,6,9,9,0,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn1Si1.73,tm_silicide,tm_silicide,tm_silicide,,,289,182,169,166,88,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn1Si1.7487,tm_silicide,tm_silicide,tm_silicide,,,17,10,13,9,0,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn1Si1.76125,tm_silicide,tm_silicide,tm_silicide,,,14,13,13,0,0,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn1Si1.78,tm_silicide,tm_silicide,tm_silicide,,,52,34,25,21,0,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Mn1Si1.84,tm_silicide,tm_silicide,tm_silicide,,,6,6,6,4,6,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Re1Si1.75,tm_silicide,tm_silicide,tm_silicide,,,20,20,20,20,20,"Transition-metal silicide (Mn, Cr, Fe, Ru, Re) with 1.7 to 2.0 Si per metal"
Ag0.65Sb1.35Te2.26,unassignable,(none),,i_v_vi2,ratio spread 0.671 > 0.15,16,15,16,5,0,
AgGe4SbTe5,unassignable,(none),,gete_sb2te3_pseudobinary,elements outside rule: Ag,5,3,4,1,3,
Al0.28In0.72N1,unassignable,(none),,zintl_14_1_11,elements outside rule: N,7,0,0,5,5,
Al0.8V1.2Fe2,unassignable,(none),,full_heusler,ratio spread 0.400 > 0.15,6,0,0,6,5,
Al5Co1.8,unassignable,(none),,full_heusler,a required site is empty,8,7,7,4,0,
B8C,unassignable,(none),,sige,"elements outside rule: B,C",38,15,22,16,9,
Ba(CuSe)2,unassignable,(none),,bicuseo,a required site is empty,23,19,19,0,0,
Bi4Te2.34765Pb1Se4.70235,unassignable,(none),,bicuseo,a required site is empty,3,2,3,3,0,
Cd0.24Hg0.76Se1,unassignable,(none),,tetradymite,"elements outside rule: Cd,Hg",16,16,0,0,0,
Cd3As0.4P1.6,unassignable,(none),,zintl_122,elements outside rule: P,3,3,0,0,0,
Cu4.4Sn2Se7,unassignable,(none),,diamond_like_cu,ratio spread 0.153 > 0.15,13,10,10,10,10,
Fe1Sb2.21Te0.8,unassignable,(none),,skutterudite,elements outside rule: Te,20,15,18,19,19,
Fe1Sb2.2Te0.8,unassignable,(none),,skutterudite,elements outside rule: Te,39,36,36,30,29,
Ga1Cu1.18Te2,unassignable,(none),,diamond_like_cu,ratio spread 0.170 > 0.15,10,8,8,5,4,
Mg0.06Si0.93Ge0.1,unassignable,(none),,mg2x,ratio spread 1.887 > 0.15,16,10,10,7,7,
Mg1.794Zn1.2Sb2,unassignable,(none),,zintl_122,a required site is empty,12,12,12,11,12,
Mg2.19Cd1Sb2,unassignable,(none),,zintl_122,a required site is empty,12,10,7,10,10,
Mn1.7Cu4Te4,unassignable,(none),,cu2x_ag2x_liquid_like,elements outside rule: Mn,18,13,13,0,7,
Mn37Ni50Sn13,unassignable,(none),,full_heusler,ratio spread 0.960 > 0.15,10,0,10,0,0,
MnTe,unassignable,(none),,tetradymite,elements outside rule: Mn,168,108,102,78,44,
Nb1Co0.85Sn1,unassignable,(none),,half_heusler,ratio spread 0.158 > 0.15,13,11,11,8,10,
Nd1Sb0.6As0.4Se2O0.8,unassignable,(none),,tetrahedrite,"elements outside rule: Nd,O",8,0,0,8,0,
NiB,unassignable,(none),,skutterudite,elements outside rule: B,2,2,0,0,0,
Pb1Se0.84,unassignable,(none),,snse_type,ratio spread 0.174 > 0.15,20,6,6,6,20,
Si15Te3P8,unassignable,(none),,sige,"elements outside rule: P,Te",5,4,0,3,4,
Ti1.6Ni1Sn1,unassignable,(none),,half_heusler,ratio spread 0.500 > 0.15,10,10,10,0,0,
Tl1Ag1Te2.1,unassignable,(none),,cu2x_ag2x_liquid_like,elements outside rule: Tl,6,0,6,0,0,
Zn0.8Cu2.2Sn0.94Se4,unassignable,(none),,diamond_like_cu,elements outside rule: Zn,16,9,9,16,9,
Zn173Sb260,unassignable,(none),,zinc_antimonide,ratio spread 0.402 > 0.15,12,12,12,0,0,
Zn1Cu2Sn0.925Se4,unassignable,(none),,tetrahedrite,elements outside rule: Sn,15,8,8,7,7,
Zn1.09Sb1,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,15,15,15,9,9,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn101Sb99,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,13,8,13,7,0,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn13Sb12,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,10,9,9,0,9,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn15Sb14,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,13,6,13,5,0,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn3.6Sb2.8,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,12,8,0,9,7,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn3.75Sb3,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,16,11,11,8,10,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn3.8Sb2.85,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,17,17,16,15,16,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn3.8Sb3,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,83,68,39,58,68,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn34Sb33,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,13,6,13,5,0,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn359Sb254,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,17,17,16,17,16,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn389Sb283,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,17,16,17,17,16,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn4.24Sb3,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,17,16,16,17,17,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn4.3Sb3,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,13,6,7,6,7,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn4Sb2.8,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,4,4,4,4,4,"Zinc antimonide, Zn4Sb3 or ZnSb"
Zn51Sb43,zinc_antimonide,zinc_antimonide,zinc_antimonide,,,6,3,4,5,3,"Zinc antimonide, Zn4Sb3 or ZnSb"
Ba(ZnSb)2,zintl_122,zintl_122,zintl_122,,,123,59,60,68,65,1-2-2 Zintl AB2X2
Ca(CdSb)2,zintl_122,zintl_122,zintl_122,,,8,6,4,7,6,1-2-2 Zintl AB2X2
Ca0.4Yb0.6Cd2Sb2,zintl_122,zintl_122,zintl_122,,,15,12,12,11,13,1-2-2 Zintl AB2X2
Ca0.5Yb0.5Mg1.9Bi2,zintl_122,zintl_122,zintl_122,,,17,10,10,8,10,1-2-2 Zintl AB2X2
Ca0.9Zn2Sb2,zintl_122,zintl_122,zintl_122,,,17,15,15,14,14,1-2-2 Zintl AB2X2
Yb(ZnSb)2,zintl_122,zintl_122,zintl_122,,,300,249,244,157,265,1-2-2 Zintl AB2X2
Yb0.25Eu0.75Zn2Sb2,zintl_122,zintl_122,zintl_122,,,9,9,9,9,9,1-2-2 Zintl AB2X2
Yb0.5Eu0.5Cd2Sb2,zintl_122,zintl_122,zintl_122,,,15,6,13,11,13,1-2-2 Zintl AB2X2
Yb1Mg0.4Cd1.6Sb2,zintl_122,zintl_122,zintl_122,,,15,7,11,8,0,1-2-2 Zintl AB2X2
Yb1Mg0.8Cd1.2Sb2,zintl_122,zintl_122,zintl_122,,,13,12,8,11,0,1-2-2 Zintl AB2X2
Yb1Mg2Bi1.88,zintl_122,zintl_122,zintl_122,,,12,7,6,10,10,1-2-2 Zintl AB2X2
Yb1Mn1.5Cd0.5Sb2,zintl_122,zintl_122,zintl_122,,,13,7,6,6,6,1-2-2 Zintl AB2X2
Yb1Zn0.5Cd1.5Sb2,zintl_122,zintl_122,zintl_122,,,17,16,16,9,11,1-2-2 Zintl AB2X2
Yb1Zn0.8Cd1.2Sb2,zintl_122,zintl_122,zintl_122,,,47,38,32,31,32,1-2-2 Zintl AB2X2
Yb1Zn1.85Sb2,zintl_122,zintl_122,zintl_122,,,36,36,35,14,36,1-2-2 Zintl AB2X2
Ca14Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,18,17,18,5,10,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Ca16Bi11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,17,9,5,9,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Ca2Yb12Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,47,16,10,16,17,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Ca2Yb14Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,7,7,5,0,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Ca4Yb10Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,44,16,18,15,14,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Ca6Yb8Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,7,0,0,7,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Ca8Yb6Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,10,0,0,10,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb10Sb9,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,20,9,6,10,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb11Sb10,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,12,9,6,3,7,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb14Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,1039,722,659,386,605,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb15Sb11,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,7,0,7,0,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb3.8Sb3,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,50,48,39,12,37,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb4Bi0.6Sb2.4,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,26,26,14,0,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb4Sb2.8,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,19,19,12,0,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Yb4Sb3,zintl_14_1_11,zintl_14_1_11,zintl_14_1_11,,,76,73,60,0,0,"Zintl A14MX11 (A = Yb, Ca, Sr, Eu; X = Sb, Bi, As), M optional"
Ti19Zn81(B13O27)3,zno_based,zno_based,zno_based;other_oxide,,,8,6,4,6,0,ZnO-based oxide (Zn is the majority cation)
Zn0.75Fe0.171O1,zno_based,zno_based,zno_based;other_oxide,,,5,0,0,5,0,ZnO-based oxide (Zn is the majority cation)
Zn0.89775O1,zno_based,zno_based,zno_based;other_oxide,,,17,13,17,2,2,ZnO-based oxide (Zn is the majority cation)
Zn0.8Co0.2O1,zno_based,zno_based,zno_based;other_oxide,,,7,7,0,0,0,ZnO-based oxide (Zn is the majority cation)
Zn13(GaO8)2,zno_based,zno_based,zno_based;other_oxide,,,14,7,7,8,8,ZnO-based oxide (Zn is the majority cation)
Zn1C0.24O1,zno_based,zno_based,zno_based;other_oxide,,,9,5,5,4,4,ZnO-based oxide (Zn is the majority cation)
Zn1O1.075,zno_based,zno_based,zno_based;other_oxide,,,48,11,13,12,12,ZnO-based oxide (Zn is the majority cation)
Zn1O1.114,zno_based,zno_based,zno_based;other_oxide,,,26,7,7,6,6,ZnO-based oxide (Zn is the majority cation)
Zn25O27,zno_based,zno_based,zno_based;other_oxide,,,17,0,17,0,0,ZnO-based oxide (Zn is the majority cation)
Zn3.5In2O6.5,zno_based,zno_based,zno_based;other_oxide,,,6,3,0,4,3,ZnO-based oxide (Zn is the majority cation)
Zn3In2O6,zno_based,zno_based,zno_based;other_oxide,,,82,60,52,55,60,ZnO-based oxide (Zn is the majority cation)
Zn50O53,zno_based,zno_based,zno_based;other_oxide,,,9,4,7,0,0,ZnO-based oxide (Zn is the majority cation)
Zn5In1.6O8,zno_based,zno_based,zno_based;other_oxide,,,18,9,18,9,9,ZnO-based oxide (Zn is the majority cation)
ZnO,zno_based,zno_based,zno_based;other_oxide,,,1714,817,1023,262,267,ZnO-based oxide (Zn is the majority cation)
Zr14Zn85O114,zno_based,zno_based,zno_based;other_oxide,,,24,10,19,11,10,ZnO-based oxide (Zn is the majority cation)
