host,assigned_family,matched_rule,rules_matched,nearest_rule,why_not,rows,S,sigma,kappa,zT,rule_description
Ca0.2Cu1Bi0.8Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,20,20,20,6,0,BiCuSeO-type oxychalcogenide
Cu0.875Bi0.875Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,22,0,3,9,10,BiCuSeO-type oxychalcogenide
Cu0.95Bi0.875Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,10,5,5,5,5,BiCuSeO-type oxychalcogenide
Cu0.9Bi0.875Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,15,8,9,10,10,BiCuSeO-type oxychalcogenide
Cu0.9Bi0.9Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,31,10,11,20,20,BiCuSeO-type oxychalcogenide
Cu0.9Bi1Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,81,34,22,33,33,BiCuSeO-type oxychalcogenide
Cu1Bi0.875Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,288,183,216,189,219,BiCuSeO-type oxychalcogenide
Cu1Bi0.88Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,95,75,74,56,66,BiCuSeO-type oxychalcogenide
Cu1Bi0.925Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,217,112,117,101,104,BiCuSeO-type oxychalcogenide
Cu1Bi0.93Se1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,11,11,11,10,10,BiCuSeO-type oxychalcogenide
Cu1Bi0.95S1O1,bicuseo,bicuseo,bicuseo;other_oxide,,,12,7,5,7,7,BiCuSeO-type oxychalcogenide
Cu1Bi1Se0.94O1,bicuseo,bicuseo,bicuseo;other_oxide,,,10,9,10,10,10,BiCuSeO-type oxychalcogenide
CuBiSO,bicuseo,bicuseo,bicuseo;other_oxide,,,13,8,2,7,8,BiCuSeO-type oxychalcogenide
CuBiTeO,bicuseo,bicuseo,bicuseo;other_oxide,,,60,38,38,40,38,BiCuSeO-type oxychalcogenide
LaCuSeO,bicuseo,bicuseo,bicuseo;other_oxide,,,12,12,0,0,0,BiCuSeO-type oxychalcogenide
Ba15(Ga8Ge13)4,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,17,17,0,0,0,Type-I clathrate A8B16C30
Ba15Ga29Ge55,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,16,20,10,12,Type-I clathrate A8B16C30
Ba4Al3(GaSn3)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,13,12,12,6,12,Type-I clathrate A8B16C30
Ba4Al4Ga4Ge15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,9,9,0,0,0,Type-I clathrate A8B16C30
Ba4Al5(GaSn5)3,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,12,12,12,0,0,Type-I clathrate A8B16C30
Ba4Ga8Si15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,44,33,13,6,26,Type-I clathrate A8B16C30
Ba4Ga8Sn15,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,723,638,599,189,602,Type-I clathrate A8B16C30
Ba655(Ga437Ge819)3,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,10,5,5,7,4,Type-I clathrate A8B16C30
Ba7(Al8Si15)2,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,19,16,13,3,16,Type-I clathrate A8B16C30
Ba7(Ga8Ge15)2,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,40,39,0,25,40,Type-I clathrate A8B16C30
Ba8Ga16Si4.54Ge26,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,6,6,4,0,0,Type-I clathrate A8B16C30
Sr7Ga14Ge29,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,20,20,19,0,0,Type-I clathrate A8B16C30
Sr8Al11(GaSi6)5,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,16,16,0,0,0,Type-I clathrate A8B16C30
Sr8Al6.5Ga10Ge29,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,17,16,0,5,0,Type-I clathrate A8B16C30
Sr8Ga15Ge31,clathrate_type_i,clathrate_type_i,clathrate_type_i,,,38,38,37,19,38,Type-I clathrate A8B16C30
Ba0.5Sr0.5Co0.8O3,cobaltite,cobaltite,cobaltite;other_oxide,,,193,0,193,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ba1.45Co1Bi1O4,cobaltite,cobaltite,cobaltite;other_oxide,,,5,3,2,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ca0.5La0.5Co1O3,cobaltite,cobaltite,cobaltite;other_oxide,,,6,1,5,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ca217Co289O650,cobaltite,cobaltite,cobaltite;other_oxide,,,7,4,4,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ca2Co1.7Bi2O8,cobaltite,cobaltite,cobaltite;other_oxide,,,307,240,261,25,5,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ca2Co2.61O6,cobaltite,cobaltite,cobaltite;other_oxide,,,46,38,31,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
CaCoBiO4,cobaltite,cobaltite,cobaltite;other_oxide,,,23,6,16,6,1,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na0.62Co1O2,cobaltite,cobaltite,cobaltite;other_oxide,,,3,0,3,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na0.65Co1O2,cobaltite,cobaltite,cobaltite;other_oxide,,,18,6,17,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na0.6Co2Ag0.4O4,cobaltite,cobaltite,cobaltite;other_oxide,,,35,9,9,9,8,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Na0.94Co1O2,cobaltite,cobaltite,cobaltite;other_oxide,,,19,19,19,19,4,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr0.4Nd0.6Co0.8O3,cobaltite,cobaltite,cobaltite;other_oxide,,,17,0,17,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr0.6Pr0.4Fe0.6Co0.3O3,cobaltite,cobaltite,cobaltite;other_oxide,,,10,0,10,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Sr2CoCu2(TeO)2,cobaltite,cobaltite,cobaltite;other_oxide,,,13,10,10,10,6,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
SrCoO3,cobaltite,cobaltite,cobaltite;other_oxide,,,57,7,52,0,0,"Cobaltite (Co with Ca, Na, Bi or Sr; Co outweighs Mn) oxide"
Ag1.9Se1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,23,23,16,15,16,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag1.9Se1.1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,6,6,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2S1.05,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,4,4,4,3,4,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Se1.1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,10,6,6,7,7,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te0.4Se0.6,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,4,4,4,4,4,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te0.6S0.4,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,13,0,0,9,9,"Cu2/Ag2 (Se,S,Te) liquid-like"
Ag2Te1.1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,10,7,7,7,5,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu0.6Ag1.37Te1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,37,36,28,5,4,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu0.95Ag1Te1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,7,5,5,5,5,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.84S1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,17,9,9,9,10,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.85Se1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,6,0,6,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.8S0.9,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,14,8,8,6,8,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2.15S1.15,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,60,47,42,3,6,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu2Se1.1,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,17,17,10,11,13,"Cu2/Ag2 (Se,S,Te) liquid-like"
CuAgS,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,cu2x_ag2x_liquid_like,,,23,23,0,0,0,"Cu2/Ag2 (Se,S,Te) liquid-like"
Cu1.82Sn0.8645Se3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,30,30,30,30,30,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu1.82Sn0.91Se3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,10,10,10,10,10,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2.75Sb1Se4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,8,4,4,4,4,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2.79Sb1Se4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,13,7,6,7,7,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn0.91Se2.7,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,13,8,11,11,9,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn0.95Se3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,134,111,99,107,110,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn0.9S3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,48,27,26,19,26,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn1Se2.5S0.5,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,10,10,10,10,10,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn1Se2.6S0.4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,14,10,6,9,11,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu2Sn1Se2.7S0.3,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,12,11,11,11,7,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Cu3SbS4,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,36,19,36,7,7,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
In0.64Ga0.36Cu1Te2,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,11,0,0,0,11,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
In0.65Ga0.35Cu1Te2,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,22,9,11,11,6,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
In4Cu3.52Te8,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,11,7,8,8,6,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
In4Cu3.62Te8,diamond_like_cu,diamond_like_cu,diamond_like_cu,,,7,4,5,6,6,"Diamond-like Cu chalcogenides, CuInTe2 / CuGaTe2 1:1:2, Cu3SbSe4 3:1:4, Cu2SnSe3 2:1:3"
Al0.67V1Fe2Si0.33,full_heusler,full_heusler,full_heusler,,,3,0,3,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
Al0.78V1Fe2Si0.22,full_heusler,full_heusler,full_heusler,,,4,0,4,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
Al0.95V1.05Fe2,full_heusler,full_heusler,full_heusler,,,46,16,32,10,1,Full-Heusler X2YZ (e.g. Fe2VAl)
Al1V0.88Fe2,full_heusler,full_heusler,full_heusler,,,15,5,13,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
Al1V0.94Fe2,full_heusler,full_heusler,full_heusler,,,28,13,25,6,5,Full-Heusler X2YZ (e.g. Fe2VAl)
Al1V1Fe1.7Co0.3,full_heusler,full_heusler,full_heusler,,,18,11,11,10,9,Full-Heusler X2YZ (e.g. Fe2VAl)
Al25V23Fe52,full_heusler,full_heusler,full_heusler,,,8,0,8,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
Hf0.35Zr0.35Ti0.3Ni2Sn1,full_heusler,full_heusler,full_heusler,,,5,3,5,3,4,Full-Heusler X2YZ (e.g. Fe2VAl)
Nb0.2Al0.8V0.8Ga0.2Fe2,full_heusler,full_heusler,full_heusler,,,12,10,11,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
Ti0.25V0.75Ga1Fe2,full_heusler,full_heusler,full_heusler,,,11,9,9,9,9,Full-Heusler X2YZ (e.g. Fe2VAl)
Ti0.7Al1Cr0.3Fe2,full_heusler,full_heusler,full_heusler,,,32,31,5,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
Ti0.8Mn0.2Co2Sn1,full_heusler,full_heusler,full_heusler,,,4,3,4,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
Ti1Al0.75Co2Si0.25,full_heusler,full_heusler,full_heusler,,,18,13,18,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
TiCo2Ge,full_heusler,full_heusler,full_heusler,,,20,20,16,0,0,Full-Heusler X2YZ (e.g. Fe2VAl)
TiFeCoSn,full_heusler,full_heusler,full_heusler,,,13,6,8,5,5,Full-Heusler X2YZ (e.g. Fe2VAl)
Bi0.4Sb1.6Te3.3Pb0.3,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,,,22,22,22,12,10,"(Ge, Pb or Sn)Te with Sb2Te3 or Bi2Te3, charge-balanced"
Bi2Te4Pb,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,,,29,25,26,5,3,"(Ge, Pb or Sn)Te with Sb2Te3 or Bi2Te3, charge-balanced"
Ge(Sb3Te5)2,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,,,72,62,67,13,25,"(Ge, Pb or Sn)Te with Sb2Te3 or Bi2Te3, charge-balanced"
Ge0.92Bi4Te7,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,,,12,8,7,10,11,"(Ge, Pb or Sn)Te with Sb2Te3 or Bi2Te3, charge-balanced"
Ge1.85Sb2Te5,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,,,16,8,7,10,9,"(Ge, Pb or Sn)Te with Sb2Te3 or Bi2Te3, charge-balanced"
Ge1.8Sb2Te5,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,,,16,8,11,5,10,"(Ge, Pb or Sn)Te with Sb2Te3 or Bi2Te3, charge-balanced"
Ge1Sb5.4Te10,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,gete_sb2te3_pseudobinary,,,10,10,9,5,10,"(Ge, Pb or Sn)Te with Sb2Te3 or Bi2Te3, charge-balanced"
